"col1","col2","col3","col4","col5","col6"
"Read","Juliette","Froy, F. (2006).","From immigration to integration: comparing local practices.","https://warwick.ac.uk/fac/soc/ier/publications/2006/green_2006_from_immigration_to_integration.pdf","Policy feedback; Integration"
"Read","Maélie","Lidén, G., & Nyhlén, J. (2023).","he governance of policy integration and policy coordination through joined‐up government: How subnational levels counteract siloism and fragmentation within Swedish migration policy.","https://onlinelibrary.wiley.com/doi/full/10.1111/rego.12558","Policy feedback; Integration"
"To be read","Maélie","Koikkalainen, S., Tammilehto, T., Kangas, O., Katisko, M., Koskinen, S., & Suikkanen, A. (2012).","Welfare or work: migrants’ selective integration in Finland.","https://bristoluniversitypressdigital.com/edcollchap/book/9781847429377/ch008.xml","Policy feedback; Integration"
"Read","Maélie","Penninx, R. (2005).","Integration of migrants: Economic, social, cultural and political dimensions.","https://unece.org/DAM/pau/_docs/pau/PAU_2005_Publ_NDRCh08.pdf","Policy feedback; Integration"
"Read","Maélie","Laurentsyeva, N., & Venturini, A. (2017).","The social integration of immigrants and the role of policy–A literature review","https://link.springer.com/article/10.1007/s10272-017-0691-6","Policy feedback; Integration"
"Read","Maélie","Valenzuela, A. (2014).","Gender roles and settlement activities among children and their immigrant families.","https://www.taylorfrancis.com/chapters/edit/10.4324/9781315054209-16/gender-roles-settlement-activities-among-children-immigrant-families-abel-valenzuela","Settlement Activities"
"Read","Maélie","Doherty, A., & Taylor, T. (2007).","Sport and physical recreation in the settlement of immigrant youth.","https://www.tandfonline.com/doi/abs/10.1080/14927713.2007.9651372","Settlement Activities"
"Read","Juliette","Nann, B. (1982)","Support networks developed by immigrant women","https://www.sciencedirect.com/science/article/abs/pii/0277953685901091","Settlement Activities"
"Reading","Thomas","Shields, J., Drolet, J., & Valenzuela Moreno, K. A. (2016).","Immigrant settlement and integration services and the role of nonprofit service providers: A cross-national perspective on tends, issues and evidence.","https://www.torontomu.ca/content/dam/centre-for-immigration-and-settlement/tmcis/publications/workingpapers/2016_1_Shields_John_Drolet_Julie_Valenzuela_Karla_Immigrant_Settlement_and_Integration_Services_and_the_Role_of_Nonprofit_Service_Providers_A_Cross_National_Perspective_on_Trends_Issues_and_Evidence.pdf","Settlement Activities"
"Read","Juliette","Sethi, B. (2019)","Newcomer ReSettlement in a Globalized World","https://ojs.uwindsor.ca/index.php/csw/article/view/5874/4859","Settlement Activities"
"Read","Maélie","Frattini, T. (2017)","L’intégration des immigrés dans les pays d’accueil-Ce que nous savons et ce qui marche","https://doi.org/10.3917/EDD.311.0105","Policy feedback; Integration"
"Read","Maélie","Schedler, P., Folke, F., Glastra, F. (2010)","Adult Education between Cultural Assimilation and Structural Integration. Settlement programmes for 'newcomers' in The Netherlands","https://doi.org/10.1080/030579200109851","Policy feedback; Integration"
"Read","Maélie","Godin, J.F. (2010)","Immigrant Economic Integration: A Prospective Analysis over Ten Years of Settlement","https://onlinelibrary-wiley-com.proxy3.library.mcgill.ca/doi/10.1111/j.1468-2435.2008.00447.x","Policy feedback; Integration"
"Reading","Thomas","Berthomiére W.,  Maurel, M., Richard, Y. (2019)","Volunteer Associations and Integration of Immigrants in France","https://doi.org/10.4000/CYBERGEO.31814","Policy feedback; Integration"
"Reading","Thomas","Martone, J., Zimmerman, D., Vidal De Haymes, M., Lorentzen, L. (2014)","Immigrant Integration Through Mediating Social Institutions: Issues and Strategies","https://doi.org/10.1080/10705422.2014.929062",NA
"Read","Maélie","Kaushik, V., & Drolet, J. (2018)","Settlement and Integration Needs of Skilled Immigrants in Canada","https://www.mdpi.com/2076-0760/7/5/76","Unsatisfactory economic and social outcomes of the Canadian skilled immigration integration"
"Read","Maélie","Collins, J. (2013)","Rethinking Australian Immigration and Immigrant Settlement Policy","https://www.tandfonline.com/doi/abs/10.1080/07256868.2013.781981","Long-term benefits of Australian immigration policies"
"Read","Maélie","Zhu, Y. (2016)","Immigration Policy, Settlement Service, and Immigrant Mothers in Neoliberal Canada: A Feminist Analysis","https://muse.jhu.edu/pub/78/article/629462/summary","Focus on immigrant mothers and the impact of feminism on immigration policies"
"Read","Maélie","Paquet, M. (2014)","The Federalization of Immigration and Integration in Canada","https://www.cambridge.org/core/journals/canadian-journal-of-political-science-revue-canadienne-de-science-politique/article/abs/federalization-of-immigration-and-integration-in-canada/96BF6B3931EB03B4CBE016FAC374D486","Decentralization of integration programs"
"Read","Maélie","Braun, J., & Clément, D. (2023).","Immigrant Settlement and Integration in Canada: Trends in Public Funding","https://www.utpjournals.press/doi/abs/10.3138/jcs-2022-0012","Integration services funding"
"Read","Maélie","Abood, J., (2021)","Understanding immigrant settlement services literacy in the context of settlement service utilisation, settlement outcomes and wellbeing among new migrants: A mixed methods systematic review","https://www.sciencedirect.com/science/article/pii/S2666558121000300","Defines ISSL, settlement service impact and improvement paths"
"Read","Maélie","Tossutti, L. S. (2012)","Municipal Roles in Immigrant Settlement, Integration and Cultural Diversity","https://www.cambridge.org/core/journals/canadian-journal-of-political-science-revue-canadienne-de-science-politique/article/municipal-roles-in-immigrant-settlement-integration-and-cultural-diversity/6CDDA3883B97EA8F3A484AF23E660407","Municipal level policies and roles"
"Read","Maélie","Selimos, E. D., & Daniel, Y. (2017)","THE ROLE OF SCHOOLS IN SHAPING THE SETTLEMENT EXPERIENCES OF NEWCOMER IMMIGRANT AND REFUGEE YOUTH","https://journals.uvic.ca/index.php/ijcyfs/article/view/17878","School impact on immigrant youth settlement"
"Read","Juliette","Edin, PA., Fredriksson, P. & Åslund, O. (2004)","Settlement policies and the economic success of immigrants","https://link.springer.com/article/10.1007/s00148-003-0143-4","Immigration dispersal and labor market integration"
"Read","Maélie","Laurentsyeva, N. & Venturini, A., (2017)","The Social Integration of Immigrants and the Role of Policy – A Literature Review","https://www.econstor.eu/bitstream/10419/213144/1/285-292-Forum-Venturini.pdf","Broad and international perspective on social integration"
"Read","Juliette","Omidvar, R. & Richmond, T., (2003)","Immigrant settlement and social inclusion in Canada","http://maytree.com/wp-content/uploads/SummaryImmigrantSettlementAndSocialInclusion2003.pdf","Defines and gives pathways to better social inclusion"
"Reading","Maélie","Hyman, I., Meinhard, A., & Shields, J. (2011)","The Role of Multiculturalism Policy in Addressing Social Inclusion Processes in Canada","https://www.researchgate.net/profile/Ilene-Hyman/publication/265236030_The_Role_of_Multiculturalism_Policy_in_Addressing_Social_Inclusion_Processes_in_Canada_The_Role_of_Multiculturalism_Policy_in_Addressing_Social_Inclusion_Processes_in_Canada/links/564f3b6208ae4988a7a81a4b/The-Role-of-Multiculturalism-Policy-in-Addressing-Social-Inclusion-Processes-in-Canada-The-Role-of-Multiculturalism-Policy-in-Addressing-Social-Inclusion-Processes-in-Canada.pdf","Makes a link between multiculturalism and integration"
"Read","Juliette","Jayaraman, S. & Harald Bauder (2013)","Niche employment or occupational segmentation? : immigrant women working in the settlement sector in Germany and Canada","https://www.torontomu.ca/content/dam/centre-for-immigration-and-settlement/tmcis/publications/workingpapers/2014_3_Jayaraman_Sita_Bauder_Harald_Niche_Employment_or_Occupational_Segmentation__Immigrant_Women_Working_in_the_Settlement_Sector_in_Germany_and_Canada.pdf","Focus on immigrant women"
"To be read","Thomas","Grey Lit.","Evaluation of the Settlement Workers in Schools (SWIS) Initiative","https://publications.gc.ca/collections/collection_2022/ircc/Ci4-236-2022-eng.pdf",NA
"To be read","Thomas","Grey Lit.","Improving Settlement Services across Canada","https://publications.gc.ca/collections/collection_2019/parl/xc64-1/XC64-1-1-421-26-eng.pdf",NA
"Read","Juliette","Lim, D.-J. (2021)","Performance of social integration programs for immigrants and influential factors: Evidence from the Korea Immigration and Integration Program (KIIP)","https://usherbrooke.on.worldcat.org/oclc/8899972272",NA
"Read","Maélie","Abbas, H. (2021)","Immigration and integration policy in Europe : Denmark and Sweden, 1970-2010","https://usherbrooke.on.worldcat.org/oclc/1159603815","Follows the evolution of integration policies"
"Read","Maélie","Geronimo, J. et al. (2001)","A Research Project Into The Settlement Needs of Adult Immigrants with Limited Literacy Skills in their First Language Who Have Settled in the Greater Toronto Area","https://atwork.settlement.org/downloads/settlement_needs_first_language_literacy_skills.pdf","Settlement of immigrants with low literacy"
"Read","Maélie","Lay, A.M., Kosny, A., Aery, A. et al. (2018)","The occupational health and safety vulnerability of recent immigrants accessing settlement services","https://link.springer.com/article/10.17269/s41997-018-0063-4","Health and safety of immigrant workers"
"Read","Maélie","Evans, B., & Shields, J. (2014)","Nonprofit engagement with provincial policy officials: The case of NGO policy voice in Canadian immigrant settlement services","https://www.tandfonline.com/doi/full/10.1016/j.polsoc.2014.05.002","Role of nonprofit organizations in the immigrant settlement and integration sector"
"Read","Maélie","Safi, M. (2008)","The Immigrant Integration Process in France: Inequalities and Segmentation","https://www.cairn.info/revue-francaise-de-sociologie-1-2008-5-page-3.htm","Defines the controversial theme of assimilation through integration"
"Read","Maélie","Fouka, V. (2023)","State Policy and Immigrant Integration","https://www.annualreviews.org/content/journals/10.1146/annurev-polisci-051921-102651","integration, immigration, policy evaluation, multiculturalism, citizenship, labor market"
"Read","Maélie","Gebhardt, D. (2016)","When the state takes over: civic integration programmes and the role of cities in immigrant integration","https://www.tandfonline.com/doi/abs/10.1080/1369183X.2015.1111132","Municipal level policies and roles"
"Read","Maélie","Joppke, C. (2007)","Beyond national models: Civic integration policies for immigrants in Western Europe","https://www.tandfonline.com/doi/abs/10.1080/01402380601019613","Western europe convergence of policies"
"Read","Maélie","Goodman, S. (2015)","Conceptualizing and Measuring Citizenship and Integration Policy: Past Lessons and New Approaches","https://doi.org/10.1177/0010414015592648","Measuring integration"
"Read","Maélie","Adler Zwahlen, J., Nagel, S., & Schlesinger, T. (2018)","Analyzing social integration of young immigrants in sports clubs","https://doi.org/10.1080/16138171.2018.1440950","Sports, social integration"
"Read","Maélie","Cebolla-Boado, H., & Finotelli, C. (2015)","Is there a north–south divide in integration outcomes? A comparison of the integration outcomes of immigrants in southern and northern Europe.","https://link.springer.com/article/10.1007/s10680-014-9327-8?sa_campaign=email/event/articleAuthor/onlineFirst&error=cookies_not_supported&code=59300461-34fe-4155-9ad3-64f1edc693c6","Measuring integration"
"Read","Maélie","Caselli, M. (2015)","Measuring the Integration of Immigrants: Critical notes from an Italian experience.","https://onlinelibrary.wiley.com/doi/full/10.1111/imig.12011?casa_token=wRpw-yc4GMUAAAAA%3AUZgzE7qK2Vva5pVwlaiombswaG_0O4bpLJkfGHIGAOueYp75HMIsulRKWymvcKE-lIxUxQzS5NXldFo","Measuring integration"
"Read","Maélie","Paparusso, A. (2019)","Studying immigrant integration through self-reported life satisfaction in the country of residence","https://link.springer.com/article/10.1007/s11482-018-9624-1","Integration, life satisfaction"
"Read","Maélie","Casmon, N. (1981).","Economic Integration of Immigrants.","https://doi.org/10.1111/J.1536-7150.1981.TB01383.X.","Measuring integration"
"To be read",NA,"Grey Lit.","Evaluation of the Settlement Workers in Schools (SWIS) Initiative","https://publications.gc.ca/collections/collection_2022/ircc/Ci4-236-2022-eng.pdf",NA
"To be read",NA,"Grey Lit.","Improving Settlement Services across Canada","https://publications.gc.ca/collections/collection_2019/parl/xc64-1/XC64-1-1-421-26-eng.pdf",NA
"To be read",NA,"Grey Lit.","2023 settlement outcomes report : data-driven insights for the future of the Settlement Program","https://publications.gc.ca/collections/collection_2024/ircc/Ci34-6-2023-eng.pdf","Federal report on settlement outcomes"
"To be read",NA,"Grey Lit.","Evaluation of the Immigrant Settlement and Adaptation Program (ISAP)","https://www.canada.ca/content/dam/ircc/migration/ircc/english/pdf/research-stats/evaluation-isap2011.pdf","Evaluates a single settlement program"
"To be read",NA,"Grey Lit.","A study of the need for language interpretation and translation services (LITS) in the delivery of immigrant settlement programs","https://books.google.ca/books/about/A_study_of_the_need_for_language_interpr.html?id=twPhzwEACAAJ&redir_esc=y","Language barrier for immigrants to access settlement programs"
"To be read",NA,"Grey Lit.","The private sector, institutions of higher education, and immigrant settlement in Canada","https://link.springer.com/article/10.1007/s12134-014-0369-x","Impact of the private sector on immigrant selection and settlement service delivery"
"To be read",NA,"Grey Lit.","Immigration and Social Cohesion: Developing an indicator framework for measuring the impact of settlement policies in New Zealand","https://msd.govt.nz/documents/about-msd-and-our-work/publications-resources/working-papers/wp-01-05-immigration-social-cohesion.doc","Defines social cohesion and evaluates the need for measuring it"
"Reading","Maélie","Papillon, M. (2002)","Immigration, diversity and social inclusion in Canada's cities","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=4a50afb9a7442948da5b420a4f1940c57c789299","""federal role in promoting sustainable ethnic and cultural diversity in Canada’s urban communities"""
"Reading","Maélie","Praznik and Sheilds (2018)","An Anatomy of Settlement Services in Canada: A Guide","https://bmrc-irmu.info.yorku.ca/files/2018/07/An-Anatomy-of-Settlement-Services-in-Canada_BMRCIRMU.pdf",NA
"Read","Maélie","Kaushik, V., & Drolet, J. (2018)","Settlement and integration needs of skilled immigrants in Canada","https://www.mdpi.com/2076-0760/7/5/76","skilled immigrants; immigrant integration; barriers to integration; settlement and integration needs"
"Read","Maélie","Bourdabat, B., & Adom I. M. (2023)","Les minorités visibles nées au Canada: l’angle mort des politiques d’intégration au marché du travail","https://cirano.qc.ca/fr/sommaires/2023RP-27","Immigrant, visible minority, Quebec, Canada, employment, unemployment, working conditions"
"Read","Maélie","Harder, H., Figueroa, L., Gillum, R. (2018)","Multidimensional measure of immigrant integration","https://www-pnas-org.proxy3.library.mcgill.ca/doi/full/10.1073/pnas.1808793115","Measuring integration"
"Read","Maélie","Sarvimaki, M., & Hamalainen, K. (2010)","Assimilating immigrants: The impact of an integration program (No. 19/10). CReAM Discussion Paper Series.","https://www.econstor.eu/handle/10419/295365","NOT PEER-REVIEWED"
"Read","Maélie","Djuve, A. B. (2011).","Introductory programs for immigrants: Liberalism revisited, or changing ideas of citizenship?","https://www-jstor-org.proxy3.library.mcgill.ca/stable/48711133","activation, discourse, ideas, integration policy"
"Read","Maélie","Kosny, A., Yanar, B., Begum, M., 
Al-Khooly, D., Premji, S., Lay, M. A., & Smith, P. M. (2020)","Safe employment integration of recent immigrants and refugees","https://link-springer-com.proxy3.library.mcgill.ca/article/10.1007/s12134-019-00685-w","occupational health and safety, employment, immigrants, refugees"
"Reading","Maélie","Joppke, C. (2007)","Immigrants and civic integration in Western Europe","http://irpp.org/wp-content/uploads/2014/08/joppke.pdf",NA
"Read","Maélie","Guo, Y. (2015).","Language policies and programs for adult immigrants in Canada: Deconstructing discourses of integration.","https://books.google.ca/books?hl=en&lr=&id=xujWCQAAQBAJ&oi=fnd&pg=PA41&dq=integration+programs+immigrants&ots=AfackBvnX5&sig=mLs1uqsvzAQ2ekqeb0lMc9jJn0k&redir_esc=y#v=onepage&q=integration%20programs%20immigrants&f=false",NA
"To be read",NA,"Nekby, L. (2008).","Active labor market programs for the integration of youths and immigrants into the labor market: the Nordic experience.","https://repositorio.cepal.org/entities/publication/00dc022a-a250-4726-8c23-264eba402098",NA
"To be read",NA,"Pont-Grau, A., Lei, Y. H., Lim, J. Z., & Xia, X. (2023)","The effect of language training on immigrants’ integration: Does the duration of training matter?","https://www-sciencedirect-com.proxy3.library.mcgill.ca/science/article/pii/S0167268123001816",NA
"Read","Maélie","Lewin‐Epstein, N., Semyonov, M., Kogan, I., & Wanner, R. A. (2003).","Institutional Structure and Immigrant Integration: A Comparative Study of Immigrants' Labor Market Attainment in Canada and Israel","https://onlinelibrary-wiley-com.proxy3.library.mcgill.ca/doi/abs/10.1111/j.1747-7379.2003.tb00142.x",NA
"Read","Maélie","Thomas, R. L., Chiarelli-Helminiak, C. M., Ferraj, B., & Barrette, K. (2016).","Building relationships and facilitating immigrant community integration: An evaluation of a Cultural Navigator Program.","https://www-sciencedirect-com.proxy3.library.mcgill.ca/science/article/pii/S0149718915001251","Cultural navigator, immigrants, integration, program evaluation, social capital"
"Reading","Maélie","Wilkinson, L. (2013).","Introduction: Developing and testing a generalizable model of immigrant integration. Canadian Ethnic Studies, 45(3), 1-7.","https://muse-jhu-edu.proxy3.library.mcgill.ca/pub/78/article/531082/summary",NA
"To be read","Thomas","Joppke, C., & Seidle, F. L. (Eds.). (2012)","Immigrant integration in federal countries","https://books.google.ca/books?hl=en&lr=&id=YkvaP-uylVYC&oi=fnd&pg=PP2&dq=integration+programs+immigrants&ots=7wuLMn4y9U&sig=mxj9HenOFHJZujHSYCxYqhWTP5I&redir_esc=y#v=onepage&q=integration%20programs%20immigrants&f=false",NA
"To be read","Thomas","Collin, S., & Karsenti, T. (2012).","Facilitating linguistic integration of immigrants: An overview of ICT tools. Issues in Informing Science and Information Technology, 9(12), 243-251.","https://books.google.ca/books?hl=en&lr=&id=p5fnRLNu8ncC&oi=fnd&pg=PA243&dq=integration+programs+immigrants&ots=zNpswBEBpY&sig=oG62kcw9Of2ZvTUOusa2LP9BG5M&redir_esc=y#v=onepage&q=integration%20programs%20immigrants&f=false",NA
"Read","Maélie","Carrera, S. (2016)","Integration of immigrants versus social inclusion: A typology of integration programmes in the EU. In Security versus freedom?","https://www-taylorfrancis-com.proxy3.library.mcgill.ca/chapters/edit/10.4324/9781315608129-7/integration-immigrants-versus-social-inclusion-typology-integration-programmes-eu-sergio-carrera",NA
"Read","Maélie","Lim, D. J. (2021).","Performance of social integration programs for immigrants and influential factors: Evidence from the Korea Immigration and Integration Program (KIIP).","https://www-sciencedirect-com.proxy3.library.mcgill.ca/science/article/pii/S0147176721000146","Immigrants, social integration performance"
"To be read","Thomas","Michalowski, I. (2004).","An overview on introduction programmes for immigrants in seven European Member States. Amsterdam: Adviescommissie voor Vreemdelingenzaken.","https://www.ludenet.org/archives/qeceran/projects/Overview_of_Introduction_programmes.pdf",NA
"To be read",NA,"Neymarc, K. (1998).","Immigrants, integration and cities: a brief review of the recent literature.","https://books.google.ca/books?hl=en&lr=&id=Kl6bAwAAQBAJ&oi=fnd&pg=PA17&dq=integration+programs+%22activities%22+immigrants&otvs=xRne0x5H69&sig=i1NE8VQkTxf0Ejw0YLYk6CEwaSA&redir_esc=y#v=onepage&q=integration%20programs%20%22activities%22%20immigrants&f=false",NA
"Read","Maélie","Adler Zwahlen, J., Nagel, S., & Schlesinger, T. (2018).","Analyzing social integration of young immigrants in sports clubs.","https://www-tandfonline-com.proxy3.library.mcgill.ca/doi/full/10.1080/16138171.2018.1440950","Voluntary sports clubs; social integration; confirmatory factor analysis; Switzerland; migration background"
"Reading","Maélie","Dixon, Z., Bessaha, M. L., & Post, M. (2018).","Beyond the ballot: Immigrant integration through civic engagement and advocacy","https://link-springer-com.proxy3.library.mcgill.ca/article/10.1007/s12552-018-9237-1","Immigration, integration, civic engagement, advocacy"
NA,NA,"Svantesson, E., & Aranki, T. N. (2006). Do introduction programs affect the probability of immigrants getting work? (No. 3/2006). Working paper.",NA,"https://www.econstor.eu/handle/10419/244422",NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
"To be read",NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
"Littérature à explorer en priorité",NA,NA,NA,NA,NA
"Read","Juliette","Kuschel, A., Hansen, N., Heyse, L., & Wittek, R. P. (2023).","Combining language training and work experience for refugees with low-literacy levels: a mixed-methods case study.","https://link-springer-com.proxy3.library.mcgill.ca/article/10.1007/s12134-023-01028-6",NA
"Read","Juliette","Bucken‐Knapp, G., Fakih, Z., & Spehar, A. (2019)","Talking about integration: The voices of Syrian refugees taking part in introduction programmes for integration into Swedish society","https://onlinelibrary-wiley-com.proxy3.library.mcgill.ca/doi/full/10.1111/imig.12440",NA
"Read","Juliette","Kogan, I. (2016)","Integration Policies and Immigrants’ Labor Market Outcomes in Europe","https://sociologicalscience.com/articles-v3-16-335/",NA
"Read","Juliette","De Coninck, D., & Solano, G. (2023).","ntegration policies and migrants' labour market outcomes: a local perspective based on different regional configurations in the EU. Comparative Migration Studies, 11(1), 23.","https://comparativemigrationstudies.springeropen.com/articles/10.1186/s40878-023-00347-y",NA
"Read","Juliette","Battisti, M., Giesing, Y., & Laurentsyeva, N. (2019).","Can job search assistance improve the labour market integration of refugees? Evidence from a field experiment. Labour Economics, 61, 101745.","https://www.sciencedirect.com/science/article/abs/pii/S092753711930065X",NA
"Read","Maélie","Grip, L. (2020).","Knocking on the doors of integration: Swedish integration policy and the production of a national space.","https://link.springer.com/article/10.1007/s12134-019-00691-y","Immigrant integration. Integration policy. Gender equality. National space."
"Read","Maélie","McCoy, L., & Masuch, C. (2007)","Beyond “entry-level” jobs: Immigrant women and non-regulated professional occupations. Journal of International Migration and Integration/Revue de l'integration et de la migration internationale, 8, 185-206.","https://link.springer.com/article/10.1007/s12134-007-0013-0","Immigrantwomen. Employment. Institutional ethnography"
"To be read","Thomas","Abood, J., Woodward, K., Polonsky, M., Green, J., Tadjoeddin, Z., & Renzaho, A. (2021).","Understanding immigrant settlement services literacy in the context of settlement service utilisation, settlement outcomes and wellbeing among new migrants: A mixed methods systematic review.","https://www.sciencedirect.com/science/article/pii/S2666558121000300",NA
"Read","Maélie","Gilmartin, M., & Dagg, J. (2022).","Finding the gap: Immigrant integration outcomes and settlement service provision in the Republic of Ireland.","https://link.springer.com/article/10.1007/s12134-021-00862-w","Immigrant integration. Integration outcomes. Settlement services"
"Read","Maélie","Ashton, W., Pettigrew, R. N., & Galatsanou, E. (2016).","Assessment of settlement services systems in western and northern Canada: perceptions of settlement provider organizations.","https://muse.jhu.edu/pub/78/article/652608/summary?casa_token=O3JtqERiCp8AAAAA:vO22UpZXgIUgYFieMZBsSBPe8Pz_4qvgbLevZu54Yx12OU6cCi1wi1oxvsWFrcntMpSY-6lzFfg",NA
"Reading","Maélie","Hwang, M. C. (2024).","Evaluating the effect of settlement services in South Korea: Focused on Korea Immigration & Integration Program.","https://www.sciencedirect.com/science/article/pii/S0149718924000016?casa_token=HMkG7hNIg0UAAAAA:bB_o1UInjswgZHpoikG344udC97n6Xg4gKO-aNa3-Zlm2_yqEBR-cVsQSn5ijXEhtW4qur4GNXE",NA
"To be read","Thomas","Shan, H. (2015).","Settlement services in the training and education of immigrants: Toward a participatory mode of governance.","https://onlinelibrary.wiley.com/doi/abs/10.1002/ace.20128",NA
NA,NA,"Ochieng, B.M., 2013. Black African migrants: the barriers with accessing and utilizing health promotion services in the UK. Eur. J. Public Health 23 (2), 265–269.",NA,NA,NA
NA,NA,"George, U., 2002. A needs-based model for settlement service delivery for newcomers to Canada. Int. Social Work 45 (4), 465–480.",NA,NA,NA
NA,NA,"Alencar, A., Tsagkroni, V., 2019. Prospects of refugee integration in the Netherlands: social capital, information practices and digital media. Media Commun. 7 (2).",NA,NA,NA
NA,NA,"Blake, H.L., Bennetts Kneebone, L., McLeod, S., 2017. The impact of oral English proficiency on humanitarian migrants’ experiences of settling in Australia. Int. J. Biling. Educ. Biling. 22 (6), 689–705.",NA,NA,NA
NA,NA,"Campbell, D.M., Julian, R., 2007. Community policing and refugee settlement in regional Australia: a refugee voice. Int. J. Divers. Organ. Communities Nations 7 (5).",NA,NA,NA
NA,NA,"Duguay, A.L., 2012. The school of life”: differences in U.S. and Canadian settlement policies and their effect on individual Haitian Immigrants’ language learning. TESOL Q. 46 (2), 306–333.",NA,NA,NA
NA,NA,"Fozdar, F., Hartley, L., 2013. Refugee resettlement in Australia: what we know and need to know. Refugee Survey Q. 32 (3), 23–51.",NA,NA,NA
NA,NA,"Lloyd, A., et al., 2013. Connecting with new information landscapes: information literacy practices of refugees. J. Doc. 69 (1), 121–144.",NA,NA,NA
NA,NA,"Martzoukou, K., Burnett, S., 2018. Exploring the everyday life information needs and the socio-cultural adaptation barriers of Syrian refugees in Scotland. J Doc. 74 (5), 1104–1132.",NA,NA,NA
NA,NA,"Masinda, M.T., 2014. Immigrant settlement services literacy. Int. J. Social Work 1 (2).",NA,NA,NA
NA,NA,"Qayyum, M.A., et al., 2014. The provision and sharing of information between service providers and settling refugees. Inf. Res. 19, 2.",NA,NA,NA
NA,NA,"Teixeira, C., 2009. New immigrant settlement in a mid-sized city: a case study of housing barriers and coping strategies in Kelowna, British Columbia. Can. Geogr. 53 (3), 323–339.",NA,NA,NA
NA,NA,"Teixeira, C., 2011. Finding a home of their own: immigrant housing experiences in Central Okanagan, British",NA,NA,NA
NA,NA,"Wali, N., Georgeou, N., Renzaho, A.M.N., 2017. Life is pulled back by such things’: intersections between language acquisition, qualifications, employment and access to settlement services among migrants in western sydney. J. Intercultural Stud. 39 (1), 85–101.",NA,NA,NA
